"id","player","atpname","birthdate","weight","height","turnedpro","birthplace","coaches","hand","backhand","ioc"
"110984","Selvarajoo Selvarajoo","Selvarajoo Selvarajoo",,,,,"","","","","MAS"
"110989","Ludi Wijono","Ludi Wijono",,,,,"","","","","INA"
"110990","Rodrigo Rafael","Rodrigo Rafael",,,,,"","","","","PHI"
"110998","Neville Senaratne","Neville Senaratne",,,,,"","","","","SRI"
"111001","Emad Abou Hamdeh","Emad Abou Hamdeh",,,,,"","","","","JOR"
"111002","Hani Al Ali","Hani Al Ali",,,,,"","","","","JOR"
"111005","Peter Hannon","Peter Hannon",,,,,"","","","","IRL"
"111007","Thomas Randby","Thomas Randby",,,,,"","","","","NOR"
"111009","Arsenio Marta","Arsenio Marta",,,,,"","","","","POR"
"111015","Francisco Truchi","Francisco Truchi",,,,,"","","","","MON"
"111016","Alain Manigley","Alain Manigley",,,,,"","","","","MON"
"111020","Khaled Ashkanani","Khaled Ashkanani",,,,,"","","","","KUW"
"111021","Eyad Shahadeh","Eyad Shahadeh",,,,,"","","","","JOR"
"111022","Khaled Al Foudari","Khaled Al Foudari",,,,,"","","","","KUW"
"111023","Aymen Ibrahim Al Ashwak","Aymen Ibrahim Al Ashwak",,,,,"","","","","KUW"
"111024","Abdullah Al Khalil","Abdullah Al Khalil",,,,,"","","","","JOR"
"111025","Aymen Abou Jaber","Aymen Abou Jaber",,,,,"","","","","JOR"
"111027","Furat Hammadi","Furat Hammadi",,,,,"","","","","JOR"
"111028","Mohammed Rahizam Abdul Rahim","Mohammed Rahizam Abdul Rahim",,,,,"","","","","MAS"
"111029","Saleh Bushnaq","Saleh Bushnaq",,,,,"","","","","JOR"
"111031","Derek Yong","Derek Yong",,,,,"","","","","SIN"
"111032","Anthony Navarrosa","Anthony Navarrosa",,,,,"","","","","PHI"
"111036","Den Wen Lin","Den Wen Lin",,,,,"","","","","TPE"
"111040","Garth Thomson","Garth Thomson",,,,,"","","","","ZIM"
